customer_id,customer_number,first_name,last_name,marital_status,gender,birthdate,create_date
10001,CUST10001,Jane ,Taylor,D,Female,3/13/1997,7/5/2020
10002,CUST10002,Jane,Thomas,Married,Female,,12/25/2021
10003,CUST10003,Emily,Brown,Single,n/a,2/3/1991,4/9/2022
10004,CUST10004,David ,Anderson,Single,Male,6/20/1970,4/16/2022
10005,CUST10005,Michael,Wilson,Married,Male,12/7/1977,9/25/2021
10006,CUST10006,Robert,Wilson,Single,n/a,2/13/1999,2/25/2021
10007,CUST10007,Jane,Anderson,Married,n/a,4/20/2002,12/15/2020
10008,CUST10008, Robert,Brown,Married,  Female,12/20/1973,12/23/2020
10009,CUST10009,Emily,Smith,Divorced,Female,5/25/2007,
10010,CUST10010,Robert,Anderson,Divorced,n/a,8/1/2005,10/29/2020
10011,CUST10011, ,Thomas,Single,Female,2/3/1991,4/16/2022
10012,CUST10012,Sarah,Wilson,Married,n/a,4/29/2007,12/23/2020
10013,CUST10013,Robert,Doe,Single,Male,8/8/1991,8/24/2022
10014,CUST10014,Michael ,Thomas,Divorced,Male,3/5/1992,2/1/2021
10015,CUST10015,Chris ,Anderson,,  Female  ,2/21/1993,1/8/2022
10016,CUST10016,John,Brown,Married,Male,3/5/2005,5/3/2021
10017,CUST10017, Sarah,Brown,Divorced,n/a  ,11/21/2010,2/28/2021
10018,CUST10018,Emily,Anderson,Married,n/a,12/7/1973,7/29/2022
10019,CUST10019,,Smith,S,Male,1/9/1981,1/7/2020
10020,CUST10020,chris,Doe,Single,Male,10/16/1975,8/2/2022
10021,CUST10021,David,Anderson,Married,Female,10/28/1975,7/23/2021
10022,CUST10022,Jane   ,Anderson,Divorced,Female,12/12/2009,1/19/2022
10023,CUST10023,   Michael,Wilson,Married,Male,10/4/1999,4/7/2021
10024,CUST10024,Jane,Thomas,Married,Female,10/1/1977,12/14/2021
10025,CUST10025,Emily,Wilson,Divorced,Male,6/13/1992,5/16/2022
10026,CUST10026,Chris,Doe,Divorced,Female,10/1/1988,4/4/2022
10027,CUST10027,Chris,Doe,Single,Female,9/12/1983,12/12/2020
10028,CUST10028,michael,Smith,Single,Female,8/8/1993,8/28/2022
10029,CUST10029,Emily,Thomas,Divorced,n/a,8/21/1974,5/18/2022
10030,CUST10030,Sarah,Doe,Single,Male,3/15/2003,5/24/2020
10031,CUST10031,Sarah,Brown,Single,Male,5/28/2008,3/13/2021
10032,CUST10032,Jane,Anderson,Married,Female,9/12/1970,4/3/2021
10033,CUST10033,David,Smith,Married,Female,7/24/1996,9/3/2022
10034,CUST10034,Michael,Smith,Married,Female,8/2/1976,11/12/2020
10035,CUST10035,David,Anderson,Divorced,n/a,8/17/1976,12/10/2020
10036,CUST10036,John,Brown,Married,Female,4/4/1977,7/11/2022
10037,CUST10037,David,Wilson,Single,Female,5/20/1989,9/15/2020
10038,CUST10038,David,Smith,Single,Male,4/1/1995,5/10/2021
10039,CUST10039,Emily,Wilson,Divorced,Female,6/27/1993,11/15/2020
10040,CUST10040, Sarah,Taylor,Married,n/a,6/18/1991,5/28/2020
10041,CUST10041,Michael,Anderson,Single,Male,4/27/1992,3/19/2020
10042,CUST10042,Emily,Brown,Married,n/a,11/8/2003,9/27/2021
10043,CUST10043,david,Wilson,Married,n/a,6/25/1984,8/20/2020
10044,CUST10044,Michael,Anderson,Single,Male,2/16/1994,9/7/2022
10045,CUST10045,John,Thomas,Married,Male,5/9/1985,8/25/2022
10046,CUST10046,Michael,Anderson,Single,Male,12/6/2003,12/9/2021
10047,CUST10047,Emily,Thomas,Married,n/a,8/15/1990,11/22/2020
10048,CUST10048,  David  ,Brown,Single,Male,5/30/2003,11/30/2020
10049,CUST10049,Emily,Smith,Married,n/a,5/28/1981,4/6/2021
10050,CUST10050,   Chris,Smith,Married,Male,4/11/1983,2/20/2022
10051,CUST10051,Jane,Wilson,Single,n/a,6/13/2002,6/11/2022
10052,CUST10052,Robert,Brown,Single,n/a,4/24/2008,8/4/2022
10053,CUST10053,Michael,Taylor,Divorced,Male,10/1/1992,4/17/2020
10054,CUST10054,Chris,Thomas,Married,Male,2/9/2006,5/20/2021
10055,CUST10055,Jane,Wilson,Divorced,n/a,3/23/1998,8/6/2021
10056,CUST10056,Michael,Smith,Married,Male,10/27/1971,7/12/2020
10057,CUST10057,Michael,Taylor,Single,n/a,7/5/1991,11/8/2021
10058,CUST10058,Sarah,Brown,Divorced,Female,12/26/1989,2/27/2021
10059,CUST10059,Robert,Anderson,Divorced,n/a,1/12/1979,12/27/2021
10060,CUST10060,Jane,Smith,Divorced,Female,8/28/1989,11/14/2020
10061,CUST10061, Robert,Thomas,Single,Male,11/28/1985,4/22/2021
10062,CUST10062,Michael ,Smith,Divorced,Female,5/5/1987,4/8/2022
10063,CUST10063,Chris,Brown,Single,Female,4/14/2000,7/11/2022
10064,CUST10064,Jane,Taylor,Divorced,Female,6/7/1991,9/13/2020
10065,CUST10065,Emily,Taylor,Divorced,Male,7/6/1980,10/20/2021
10066,CUST10066,John,Thomas,Single,Male,7/17/1989,12/11/2020
10067,CUST10067,David,Wilson,Single,Female,2/23/1994,10/28/2020
10068,CUST10068,David ,Anderson,Single,Male,3/10/1988,10/1/2021
10069,CUST10069,Jane,Taylor,Divorced,,5/13/1995,2/21/2021
10070,CUST10070,Sarah,Brown,Divorced,Male,5/25/1974,10/20/2020
10071,CUST10071,Robert,Brown,Divorced,n/a,6/24/2006,1/20/2022
10072,CUST10072,Michael,Anderson,Married,n/a,2/18/1988,2/28/2022
10073,CUST10073,Jane,Taylor,Divorced,Male,11/29/1972,4/13/2020
10074,CUST10074,John,Thomas,Divorced,Female,12/23/2002,9/3/2020
10075,CUST10075,Jane,Taylor,Single,n/a,1/21/1978,8/13/2022
10076,CUST10076,Sarah,Smith,Divorced,Male,11/15/2006,8/5/2022
10077,CUST10077,Jane,Wilson,Single,Male,1/13/1995,3/11/2020
10078,CUST10078,Jane,Doe,Divorced,Male,10/14/1992,5/1/2020
10079,CUST10079,John,Brown,Divorced,Male,2/4/1998,3/25/2022
10080,CUST10080,Chris,Anderson,Married,n/a,3/23/1970,7/4/2020
10081,CUST10081,John,Wilson,Married,Male,6/12/1974,3/9/2021
10082,CUST10082,Chris,Taylor,Single,n/a,3/21/2008,1/30/2021
10083,CUST10083,Chris,Thomas,Divorced,n/a,12/22/1970,2/24/2020
10084,CUST10084,Robert,Taylor,Single,Male,2/6/1991,5/4/2021
10085,CUST10085,Chris,Taylor,Single,n/a,9/2/1990,3/17/2020
10086,CUST10086,Chris,Anderson,Divorced,Female,3/1/1989,9/12/2020
10087,CUST10087,Emily,Thomas,Married,n/a,6/11/2001,10/10/2021
10088,CUST10088,Robert,Anderson,Single,n/a,10/24/1980,12/7/2021
10089,CUST10089,Sarah,Anderson,Divorced,Male,11/6/1980,2/1/2022
10090,CUST10090,David,Smith,,Female,7/5/1997,7/27/2022
10091,CUST10091,Sarah,Doe,Single,n/a,1/3/1971,5/4/2021
10092,CUST10092,John,Wilson,Divorced,Male,8/23/1980,4/12/2020
10093,CUST10093,Robert,Doe,Married,Male,3/14/2004,6/26/2021
10094,CUST10094,Chris,Smith,Divorced,n/a,11/9/1975,7/28/2021
10095,CUST10095,Michael,Taylor,Divorced,Female,12/16/1985,7/28/2021
10096,CUST10096,Michael,Thomas,Married,n/a,11/4/1984,11/26/2021
10097,CUST10097,John,Brown,Single,Male,2/14/1970,7/10/2020
10098,CUST10098,Sarah,Taylor,Married,Male,10/6/2002,7/21/2022
10099,CUST10099,David,Wilson,Married,Female,1/14/1992,7/7/2021
10100,CUST10100,Michael,Wilson,Married,Female,10/28/1979,5/16/2022
10101,CUST10101,Chris,Smith,Divorced,n/a,4/9/2001,4/23/2022
10102,CUST10102,David,Smith,Married,n/a,5/13/1997,2/23/2022
10103,CUST10103,Sarah,Anderson,Single,n/a,1/27/2001,1/7/2020
10104,CUST10104,Robert,Taylor,Divorced,Male,4/16/1979,8/19/2021
10105,CUST10105,Robert,Taylor,Married,n/a,1/19/1973,6/24/2022
10106,CUST10106,Sarah,Wilson,Married,Female,12/27/2000,5/9/2021
10107,CUST10107,Emily,Anderson,Divorced,n/a,6/24/1970,7/5/2022
10108,CUST10108,David,Brown,Married,Male,6/12/1970,2/7/2021
10109,CUST10109,Jane,Thomas,Divorced,Male,4/20/1990,1/27/2021
10110,CUST10110,John,Brown,Single,Female,10/26/1990,3/5/2020
10111,CUST10111,John,Anderson,Divorced,Female,8/30/1998,9/20/2020
10112,CUST10112,Jane,Smith,Single,Female,10/31/1978,6/26/2021
10113,CUST10113,Robert,Taylor,Single,Female,9/29/1989,8/30/2020
10114,CUST10114,Michael,Brown,Married,n/a,11/25/2002,9/23/2022
10115,CUST10115,Emily,Anderson,Married,n/a,4/22/1987,8/18/2020
10116,CUST10116,Emily,Taylor,Married,Female,1/2/1994,9/22/2021
10117,CUST10117,Michael,Thomas,Single,Female,8/6/2004,5/15/2020
10118,CUST10118,Robert,Doe,Single,Female,4/12/1989,8/22/2021
10119,CUST10119,Chris,Doe,Divorced,n/a,11/28/2008,3/3/2020
10120,CUST10120,Robert,Anderson,Married,Male,11/27/2003,4/24/2021
10121,CUST10121,Jane,Anderson,Single,n/a,6/25/2007,3/5/2020
10122,CUST10122,Emily,Smith,Single,Male,5/9/2004,9/20/2021
10123,CUST10123,David,Brown,Divorced,Male,5/5/2006,10/15/2020
10124,CUST10124,Sarah,Anderson,Divorced,Male,12/25/1974,9/9/2022
10125,CUST10125,Chris,Doe,Married,n/a,5/21/1998,7/19/2021
10126,CUST10126,Robert,Brown,Married,n/a,8/15/2006,5/29/2021
10127,CUST10127,Michael,Smith,Single,Female,7/1/1987,5/14/2021
10128,CUST10128,Chris,Taylor,Single,Female,4/7/1970,2/8/2020
10129,CUST10129,Michael,Anderson,Married,Female,10/16/1986,12/1/2021
10130,CUST10130,Michael,Anderson,Married,Male,1/25/1990,11/10/2020
10131,CUST10131,Sarah,Brown,Divorced,n/a,8/14/1971,7/31/2022
10132,CUST10132,Sarah,Smith,Divorced,Female,11/10/1994,7/7/2022
10133,CUST10133,Michael,Doe,Married,Female,9/26/1985,6/26/2022
10134,CUST10134,Emily,Wilson,Married,Female,1/14/1999,1/30/2021
10135,CUST10135,Robert,Wilson,Divorced,Male,5/21/1983,4/1/2021
10136,CUST10136,Chris,Thomas,Single,n/a,1/4/1996,1/15/2020
10137,CUST10137,David,Thomas,Married,Male,4/29/2002,2/8/2021
10138,CUST10138,David,Taylor,Married,Male,6/20/1990,3/26/2022
10139,CUST10139,Jane,Brown,Single,n/a,1/31/1977,5/20/2020
10140,CUST10140,Robert,Brown,Single,Female,5/20/2009,1/17/2022
10141,CUST10141,Michael,Smith,Married,n/a,2/15/1995,3/26/2020
10142,CUST10142,David,Brown,Single,Female,6/14/1989,7/28/2021
10143,CUST10143,Emily,Wilson,Single,Female,3/27/1977,4/6/2020
10144,CUST10144,Sarah,Brown,Married,n/a,6/10/2003,5/8/2020
10145,CUST10145,John,Wilson,Married,Male,6/20/2009,3/3/2021
10146,CUST10146,Robert,Thomas,Single,Male,4/2/1970,5/10/2022
10147,CUST10147,Chris,Thomas,Married,n/a,2/1/1988,1/11/2022
10148,CUST10148,Emily,Taylor,Single,n/a,1/10/2001,3/29/2021
10149,CUST10149,Chris,Wilson,Married,n/a,4/27/1992,11/26/2021
10150,CUST10150,Chris,Wilson,Married,Male,12/14/1996,1/25/2021
10151,CUST10151,Robert,Wilson,Married,n/a,7/28/1988,7/19/2022
10152,CUST10152,David,Anderson,Single,Female,3/30/1989,12/15/2021
10153,CUST10153,David,Brown,Married,Male,11/6/1978,9/24/2021
10154,CUST10154,Michael,Anderson,,Female,8/29/1983,6/1/2020
10155,CUST10155,Chris,Brown,Single,n/a,9/11/1979,9/17/2022
10156,CUST10156,Jane,Anderson,Single,Female,5/25/2009,7/25/2022
10157,CUST10157,John,Brown,Single,Male,2/13/2003,7/29/2022
10158,CUST10158,Emily,Brown,Married,Female,3/31/2009,11/6/2020
10159,CUST10159,Emily,Smith,Married,Male,8/1/1985,2/6/2020
10160,CUST10160,Chris,Smith,Married,Male,4/25/1975,11/28/2021
10161,CUST10161,Michael,Doe,Married,Male,10/19/2008,10/30/2021
10162,CUST10162,Michael,Thomas,Single,Female,6/2/2003,9/22/2021
10163,CUST10163,Chris,Brown,Single,Female,8/20/1993,1/1/2021
10164,CUST10164,Chris,Smith,Single,Male,5/20/1993,11/22/2020
10165,CUST10165,Jane,Thomas,Divorced,Female,7/10/2005,9/20/2021
10166,CUST10166,John,Brown,Divorced,n/a,10/25/1994,8/6/2021
10167,CUST10167,Robert,Anderson,Single,n/a,4/1/1971,10/8/2021
10168,CUST10168,David,Thomas,Single,n/a,9/6/1979,9/26/2021
10169,CUST10169,David,Thomas,Married,Female,12/24/2004,1/2/2020
10170,CUST10170,Sarah,Thomas,Divorced,Female,2/15/1987,8/13/2022
10171,CUST10171,David,Anderson,Married,Male,12/3/2000,5/31/2022
10172,CUST10172,Emily,Brown,Single,Male,8/18/2000,12/3/2020
10173,CUST10173,Jane,Smith,Divorced,Female,5/1/1981,5/28/2021
10174,CUST10174,Sarah,Doe,Married,Male,2/17/2009,3/15/2022
10175,CUST10175,Robert,Doe,Single,Female,3/11/1989,3/31/2020
10176,CUST10176,John,Doe,Divorced,Female,9/30/1970,5/22/2020
10177,CUST10177,Robert,Taylor,Divorced,Female,4/4/1991,4/21/2022
10178,CUST10178,Jane,Thomas,Married,n/a,6/9/1984,7/22/2020
10179,CUST10179,Jane,Brown,Married,n/a,1/25/1976,9/25/2021
10180,CUST10180,Chris,Doe,Married,Female,6/18/2009,9/26/2020
10181,CUST10181,Robert,Doe,Married,n/a,8/13/2003,7/31/2022
10182,CUST10182,Sarah,Anderson,Divorced,Female,6/19/1997,11/10/2020
10183,CUST10183,Chris,Taylor,Single,n/a,7/27/1982,9/20/2021
10184,CUST10184,Robert,Anderson,Single,Male  ,10/15/1980,9/21/2020
10185,CUST10185,Emily,Anderson,Divorced,n/a,1/31/1998,9/11/2021
10186,CUST10186,Emily,Smith,Single,Female,9/21/1995,8/16/2020
10187,CUST10187,Robert,Anderson,Single,n/a,5/26/1991,6/25/2022
10188,CUST10188,Emily,Brown,Married,n/a,5/30/1980,2/4/2022
